Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/BSC_avecinduit.txt
At local time: 19:03:04,  08/12/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 6.03e+05
tau       = 6.82e+00
lb        = 0.00e+00
beta      = ********
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 2.12e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Brems ep         Error           
-----------------------------------------------
0147    1.1123147e-05    1.1152776e-05    1.1182564e-05    8.1818772e+18   -1.3793443e+28    1.3793440e+28    4.2621749e+21
0148    1.1182564e-05    1.1212353e-05    1.1242299e-05    8.3954156e+18   -1.3862795e+28    1.3862790e+28    4.3078321e+21
0149    1.1242299e-05    1.1272246e-05    1.1302353e-05    8.6147929e+18   -1.3932490e+28    1.3932486e+28    4.3539779e+21
0150    1.1302353e-05    1.1332460e-05    1.1362729e-05    8.8401560e+18   -1.4002537e+28    1.4002532e+28    4.4006186e+21
0151    1.1362729e-05    1.1392997e-05    1.1423426e-05    9.0716466e+18   -1.4072934e+28    1.4072930e+28    4.4477592e+21
0152    1.1423426e-05    1.1453857e-05    1.1484449e-05    9.3094033e+18   -1.4143682e+28    1.4143678e+28    4.4954045e+21
0153    1.1484449e-05    1.1515041e-05    1.1545797e-05    9.5535730e+18   -1.4214786e+28    1.4214781e+28    4.5435598e+21
0154    1.1545797e-05    1.1576552e-05    1.1607473e-05    9.8042957e+18   -1.4286244e+28    1.4286239e+28    4.5922310e+21
0155    1.1607473e-05    1.1638392e-05    1.1669477e-05    1.0061711e+19   -1.4358063e+28    1.4358058e+28    4.6414241e+21
0156    1.1669477e-05    1.1700562e-05    1.1731813e-05    1.0325956e+19   -1.4430239e+28    1.4430234e+28    4.6911442e+21
0157    1.1731813e-05    1.1763065e-05    1.1794483e-05    1.0597161e+19   -1.4502776e+28    1.4502771e+28    4.7413964e+21
0158    1.1794483e-05    1.1825901e-05    1.1857486e-05    1.0875454e+19   -1.4575677e+28    1.4575673e+28    4.7921869e+21
0159    1.1857486e-05    1.1889072e-05    1.1920827e-05    1.1160968e+19   -1.4648941e+28    1.4648937e+28    4.8435212e+21
0160    1.1920827e-05    1.1952582e-05    1.1984506e-05    1.1453813e+19   -1.4722575e+28    1.4722570e+28    4.8954060e+21
0161    1.1984506e-05    1.2016430e-05    1.2048526e-05    1.1754520e+19   -1.4796577e+28    1.4796572e+28    4.9478471e+21
0162    1.2048526e-05    1.2080621e-05    1.2112886e-05    1.2063783e+19   -1.4870949e+28    1.4870945e+28    5.0008494e+21
0163    1.2112886e-05    1.2145153e-05    1.2177591e-05    1.2381832e+19   -1.4945693e+28    1.4945687e+28    5.0544191e+21
0164    1.2177591e-05    1.2210030e-05    1.2242642e-05    1.2708920e+19   -1.5020808e+28    1.5020804e+28    3.4057087e+21
0165    1.2242642e-05    1.2275254e-05    1.2308040e-05    1.3045306e+19   -1.5096303e+28    1.5096297e+28    5.1632869e+21
