Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu_BSC_sansinduit/BSC_sansinduit.txt
At local time: 16:37:44,  07/29/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 6.03e+05
tau       = 6.82e+00
lb        = 0.00e+00
beta      = ********
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 2.12e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Brems ep         Error           
-----------------------------------------------
0115    9.3796716e-06    9.4046572e-06    9.4297766e-06    6.4718942e+22   -1.1739307e+23    1.8211202e+23    0.0000000e+00
0116    9.4297766e-06    9.4548950e-06    9.4801489e-06    6.5789070e+22   -1.2041159e+23    1.8620066e+23    0.0000000e+00
0117    9.4801489e-06    9.5054020e-06    9.5307905e-06    6.6876725e+22   -1.2349863e+23    1.9037535e+23    0.0000000e+00
0118    9.5307905e-06    9.5561782e-06    9.5817013e-06    6.7982192e+22   -1.2665600e+23    1.9463819e+23    0.0000000e+00
0119    9.5817013e-06    9.6072254e-06    9.6328858e-06    6.9105755e+22   -1.2988852e+23    1.9899429e+23    1.6086444e+16
0120    9.6328858e-06    9.6585454e-06    9.6843423e-06    7.0247710e+22   -1.3318023e+23    2.0342796e+23    0.0000000e+00
0121    9.6843423e-06    9.7101392e-06    9.7360744e-06    7.1408355e+22   -1.3637935e+23    2.0778769e+23    1.6432931e+16
0122    9.7360744e-06    9.7620095e-06    9.7880829e-06    7.2588001e+22   -1.3960407e+23    2.1219205e+23    0.0000000e+00
0123    9.7880829e-06    9.8141563e-06    9.8403698e-06    7.3786958e+22   -1.4289387e+23    2.1668082e+23    0.0000000e+00
0124    9.8403698e-06    9.8665814e-06    9.8929349e-06    7.5005538e+22   -1.4625222e+23    2.2125774e+23    0.0000000e+00
0125    9.8929349e-06    9.9192875e-06    9.9457811e-06    7.6244050e+22   -1.4967930e+23    2.2592336e+23    0.0000000e+00
0126    9.9457811e-06    9.9722747e-06    9.9989093e-06    7.7502833e+22   -1.5317825e+23    2.3068107e+23    0.0000000e+00
0127    9.9989093e-06    1.0025545e-05    1.0052322e-05    7.8782216e+22   -1.5675031e+23    2.3553251e+23    0.0000000e+00
0128    1.0052322e-05    1.0079099e-05    1.0106020e-05    8.0082513e+22   -1.6039763e+23    2.4048015e+23    0.0000000e+00
0129    1.0106020e-05    1.0132941e-05    1.0160004e-05    8.1404085e+22   -1.6412252e+23    2.4552661e+23    0.0000000e+00
0130    1.0160004e-05    1.0187068e-05    1.0214277e-05    8.2747275e+22   -1.6792512e+23    2.5067239e+23    0.0000000e+00
0131    1.0214277e-05    1.0241486e-05    1.0268840e-05    8.4112433e+22   -1.7180903e+23    2.5592146e+23    0.0000000e+00
0132    1.0268840e-05    1.0296194e-05    1.0323694e-05    8.5499911e+22   -1.7577764e+23    2.6127754e+23    0.0000000e+00
0133    1.0323694e-05    1.0351195e-05    1.0378842e-05    8.6910078e+22   -1.7983030e+23    2.6674039e+23    0.0000000e+00
0134    1.0378842e-05    1.0406489e-05    1.0434284e-05    8.8343295e+22   -1.8397113e+23    2.7231442e+23    0.0000000e+00
0135    1.0434284e-05    1.0462079e-05    1.0490022e-05    8.9799957e+22   -1.8820201e+23    2.7800194e+23    1.9076559e+16
0136    1.0490022e-05    1.0517965e-05    1.0546058e-05    9.1280416e+22   -1.9252586e+23    2.8380627e+23    0.0000000e+00
0137    1.0546058e-05    1.0574150e-05    1.0602394e-05    9.2785078e+22   -1.9694439e+23    2.8972948e+23    0.0000000e+00
0138    1.0602394e-05    1.0630636e-05    1.0659030e-05    9.4314338e+22   -2.0146131e+23    2.9577565e+23    0.0000000e+00
0139    1.0659030e-05    1.0687422e-05    1.0715968e-05    9.5868567e+22   -2.0606910e+23    3.0193769e+23    1.9907195e+16
0140    1.0715968e-05    1.0744513e-05    1.0773211e-05    9.7448204e+22   -2.1057093e+23    3.0801912e+23    2.0120442e+16
0141    1.0773211e-05    1.0801909e-05    1.0830759e-05    9.9053674e+22   -2.1508587e+23    3.1413955e+23    2.0335979e+16
0142    1.0830759e-05    1.0859610e-05    1.0888615e-05    1.0068535e+23   -2.1968800e+23    3.2037336e+23    2.0553819e+16
0143    1.0888615e-05    1.0917621e-05    1.0946780e-05    1.0234370e+23   -2.2438131e+23    3.2672502e+23    0.0000000e+00
0144    1.0946780e-05    1.0975940e-05    1.1005256e-05    1.0402912e+23   -2.2916965e+23    3.3319878e+23    2.0996532e+16
0145    1.1005256e-05    1.1034572e-05    1.1064044e-05    1.0574207e+23   -2.3405398e+23    3.3979605e+23    0.0000000e+00
0146    1.1064044e-05    1.1093517e-05    1.1123147e-05    1.0748302e+23   -2.3903570e+23    3.4651870e+23    0.0000000e+00
0147    1.1123147e-05    1.1152776e-05    1.1182564e-05    1.0925237e+23   -2.4411751e+23    3.5336986e+23    2.1678542e+16
0148    1.1182564e-05    1.1212353e-05    1.1242299e-05    1.1105062e+23   -2.4930576e+23    3.6035639e+23    0.0000000e+00
0149    1.1242299e-05    1.1272246e-05    1.1302353e-05    1.1287823e+23   -2.5459420e+23    3.6747244e+23    0.0000000e+00
0150    1.1302353e-05    1.1332460e-05    1.1362729e-05    1.1473569e+23   -2.5999376e+23    3.7472946e+23    0.0000000e+00
0151    1.1362729e-05    1.1392997e-05    1.1423426e-05    1.1662349e+23   -2.6550465e+23    3.8212816e+23    0.0000000e+00
0152    1.1423426e-05    1.1453857e-05    1.1484449e-05    1.1854207e+23   -2.7112691e+23    3.8966899e+23    0.0000000e+00
0153    1.1484449e-05    1.1515041e-05    1.1545797e-05    1.2049199e+23   -2.7686585e+23    3.9735782e+23    0.0000000e+00
0154    1.1545797e-05    1.1576552e-05    1.1607473e-05    1.2247372e+23   -2.8272440e+23    4.0519815e+23    0.0000000e+00
0155    1.1607473e-05    1.1638392e-05    1.1669477e-05    1.2448781e+23   -2.8870486e+23    4.1319266e+23    0.0000000e+00
0156    1.1669477e-05    1.1700562e-05    1.1731813e-05    1.2653477e+23   -2.9480950e+23    4.2134428e+23    0.0000000e+00
0157    1.1731813e-05    1.1763065e-05    1.1794483e-05    1.2861511e+23   -3.0104391e+23    4.2965904e+23    0.0000000e+00
0158    1.1794483e-05    1.1825901e-05    1.1857486e-05    1.3072940e+23   -3.0740829e+23    4.3813766e+23    0.0000000e+00
0159    1.1857486e-05    1.1889072e-05    1.1920827e-05    1.3287818e+23   -3.1390720e+23    4.4678540e+23    0.0000000e+00
0160    1.1920827e-05    1.1952582e-05    1.1984506e-05    1.3506202e+23   -3.2054644e+23    4.5560846e+23    0.0000000e+00
0161    1.1984506e-05    1.2016430e-05    1.2048526e-05    1.3728150e+23   -3.2714263e+23    4.6442409e+23    0.0000000e+00
0162    1.2048526e-05    1.2080621e-05    1.2112886e-05    1.3953717e+23   -3.3365873e+23    4.7319592e+23    0.0000000e+00
0163    1.2112886e-05    1.2145153e-05    1.2177591e-05    1.4182963e+23   -3.4030413e+23    4.8213372e+23    0.0000000e+00
0164    1.2177591e-05    1.2210030e-05    1.2242642e-05    1.4415947e+23   -3.4707297e+23    4.9123240e+23    0.0000000e+00
0165    1.2242642e-05    1.2275254e-05    1.2308040e-05    1.4652732e+23   -3.5397252e+23    5.0049983e+23    0.0000000e+00
